Compound,NSP,NSP_Error,YSI,YSI_Error,Type,SMILES
Cyclopentene,10.3,0,80.5,5.5,Alkene,C1CC=CC1
"2-Methyl-1,3-butadiene",15.3,0,,,Alkene,CC(=C)C=C
1-Pentene,47.1,9.2,,,Alkene,CCCC=C
Cyclohexene,38.7,6.3,45.6,2,Alkene,C1CCC=CC1
1-Hexene,55.2,12.5,42.4,2,Alkene,CCCCC=C
4-Methylcyclohexene,23.5,0,,,Alkene,CC1CCC=CC1
1-Heptene,70.1,15.6,48.4,2,Alkene,CCCCCC=C
2-Heptene,73.8,11,50.8,2,Alkene,C/C=C\CCCC
"1,5-Cyclooctadiene",20,0,,,Alkene,C1CC=CCCC=C1
"2,5-Dimethyl-1,5-hexadiene",11.8,0,,,Alkene,CC(=C)CCC(=C)C
1-Octene,56.7,20.9,56,2,Alkene,CCCCCCC=C
2-Octene,86.4,0,56.7,2,Alkene,CCCCCC=CC
1-Nonene,55.2,0,64.4,2,Alkene,CCCCCCCC=C
Pinene,18.5,0,,,Alkene,C\1=C(\[C@@H]2C[C@H](C/1)C2(C)C)C
1-Decene,72.4,18,74.8,2.2,Alkene,CCCCCCCCC=C
1-Dodecene,68.3,30.3,90.3,2.6,Alkene,CCCCCCCCCCC=C
1-Tridecene,55.2,0,,,Alkene,CCCCCCCCCCCC=C
1-Tetradecene,67.9,22.6,,,Alkene,CCCCCCCCCCCCC=C
1-Hexadecene,69.2,25.1,,,Alkene,CCCCCCCCCCCCCCC=C
1-Octadecene,82.1,0,,,Alkene,CCCCCCCCCCCCCCCCC=C
Ethyne,14.6,8.3,,,1-Alkyne,C#C
Propyne,10.3,0,,,1-Alkyne,CC#C
1-Pentyne,10.8,0,47.3,2,1-Alkyne,CCCC#C
1-Hexyne,11,0,,,1-Alkyne,CCCCC#C
1-Heptyne,18.4,0.8,,,1-Alkyne,CCCCCC#C
1-Octyne,21.1,0.2,74.1,2.2,1-Alkyne,CCCCCCC#C
1-Decyne,23.5,0,,,1-Alkyne,CCCCCCCCC#C
1-Dodecyne,31.4,0,,,1-Alkyne,CCCCCCCCCCC#C
Benzene,8.79,1.66,100,5.8,Aromatic,C1=CC=CC=C1
Toluene,8.12,1.6,170.9,7.7,Aromatic,CC1=CC=CC=C1
Styrene,5.27,3.49,174,7.7,Aromatic,C=CC1=CC=CC=C1
Xylenes,8.1,1.62,212.5,9,Aromatic,Cc1ccc(C)cc1
Ethylbenzene,5.92,1,223.7,9.3,Aromatic,CCC1=CC=CC=C1
1-Phenyl-1-propyne,4.7,0,,,Aromatic,CC#CC1=CC=CC=C1
Indene,5.99,0.23,467.7,17.8,Aromatic,C1C=CC2=CC=CC=C21
a-Methylstyrene,6.09,0,,,Aromatic,CC(=C)C1=CC=CC=C1
Mesitylene,5.24,0,310.9,12.3,Aromatic,CC1=CC(=CC(=C1)C)C
Trimethylbenzenes,6.43,1.17,311.7,12.3,Aromatic,Cc1cc(C)cc(C)c1
Cumene,6.14,1.78,187.6,8.2,Aromatic,CC(C)C1=CC=CC=C1
n-Propylbenzene,6.86,1.9,235.7,9.9,Aromatic,CCCC1=CC=CC=C1
Naphthalene,3.49,0,466.1,17.8,Aromatic,C1=CC=C2C=CC=CC2=C1
"1,2-Dihydronaphthalene",5.57,0,466.1,17.8,Aromatic,C1CC2=CC=CC=C2C=C1
Tetralin,7.4,1.21,336,13.4,Aromatic,C1CCC2=CC=CC=C2C1
p-Cymene,7.9,2.84,330.3,12.9,Aromatic,CC1=CC=C(C=C1)C(C)C
n-Butylbenzene,7.39,2.12,245.1,9.9,Aromatic,CCCCC1=CC=CC=C1
sec-Butylbenzene,6.97,1.69,199.1,8.7,Aromatic,CCC(C)C1=CC=CC=C1
tert-Butylbenzene,4.37,0,291.1,11.6,Aromatic,CC(C)(C)C1=CC=CC=C1
Isobutylbenzene,7.41,2.54,257.6,10.5,Aromatic,CC(C)CC1=CC=CC=C1
Diethylbenzene,6.11,0,376.3,14.7,Aromatic,CCc1ccccc1CC
1-Methylnaphthalene,5.14,0.48,649.1,24.7,Aromatic,CC1=CC=CC2=CC=CC=C12
2-Methylnaphthalene,4.37,0,649.1,24.7,Aromatic,CC1=CC2=CC=CC=C2C=C1
sec-Pentylbenzene,6.98,0,,,Aromatic,CCCC(C)C1=CC=CC=C1
tert-Pentylbenzene,6.98,0,,,Aromatic,CCC(C)(C)C1=CC=CC=C1
n-Pentylbenzene,10.6,0,255,10.5,Aromatic,CCCCCC1=CC=CC=C1
Dimethylnaphthalene,4.37,0,758,30,Aromatic,CC1=C(C2=CC=CC=C2C=C1)C
Cyclohexylbenzene,7.67,1.06,377.3,14.7,Aromatic,C1CCC(CC1)C2=CC=CC=C2
Triethylbenzene,4.37,0,,,Aromatic,CCc1cc(CC)cc(CC)c1
m-Diisopropylbenzene,10.6,0,353.3,14,Aromatic,CC(C)C1=CC(=CC=C1)C(C)C
Benzylbenzene,4.35,0,,,Aromatic,C1=CC=C(C=C1)CC2=CC=CC=C2
